01-showcase-the-trained-lora	01-read-the-plateau-curves	reading/01-read-where-the-curves-flatten
01-showcase-the-trained-lora	02-the-dog-x-dog-null-probe	tests/02-the-dog-x-dog-same-prompt-check
01-showcase-the-trained-lora	03-the-lora-dose-sweep	tests/03-the-correction-amount-series
01-showcase-the-trained-lora	04-the-transfer-matrix-figure	figures/04-the-transfer-matrix-figure
01-showcase-the-trained-lora	05-assemble-the-showcase-figures	figures/05-assemble-the-showcase-figures
01-showcase-the-trained-lora	06-extend-the-tracking-set	tools/06-extend-the-tracking-set
01-showcase-the-trained-lora	07-experiment-c-lambda-window	experiments/07-experiment-c-lambda-window
01-showcase-the-trained-lora	08-experiment-a-resume-to-200k	experiments/08-experiment-a-resume-to-200k
01-showcase-the-trained-lora	09-experiment-b-rank-16-32	experiments/09-experiment-b-rank-16-32
01-showcase-the-trained-lora	10-the-mechanism-follower	tests/10-the-checkpoint-watcher
01-showcase-the-trained-lora	11-the-counted-joint-prompt-figure	figures/11-the-counted-joint-prompt-figure
01-showcase-the-trained-lora	12-close-f8a-and-the-oracle-panel	figures/12-close-f8a-and-the-best-case-panel
01-showcase-the-trained-lora	13-revalidate-the-scorer-off-animals	tools/13-revalidate-the-scorer-off-animals
02-can-we-trust-the-compose-rate	gate-01-is-this-hole-already-known	checks/01-is-this-hole-already-known
02-can-we-trust-the-compose-rate	gate-02-promote-or-close	checks/02-promote-or-close
02-can-we-trust-the-compose-rate	idea-01-what-the-current-benchmarks-score	ideas/03-what-the-current-benchmarks-score
02-can-we-trust-the-compose-rate	instrument-01-the-three-state-labelled-set	tools/04-the-three-state-labelled-set
03-does-the-correction-cause-composition	instrument-01-build-the-measuring-scripts	tools/01-build-the-measuring-scripts
03-does-the-correction-cause-composition	instrument-02-fix-the-size-measure-before-any-result	tools/02-fix-the-size-measure-before-any-result
03-does-the-correction-cause-composition	hypothesis-02-more-correction-more-composition	hypothesis/03-more-correction-more-composition
03-does-the-correction-cause-composition	hypothesis-04-what-the-cached-runs-already-show	hypothesis/04-what-the-cached-runs-already-show
03-does-the-correction-cause-composition	hypothesis-03-when-in-the-run-it-matters	hypothesis/05-when-in-the-run-it-matters
03-does-the-correction-cause-composition	hypothesis-05-the-same-story-from-three-sides	hypothesis/06-the-same-story-from-three-sides
03-does-the-correction-cause-composition	hypothesis-01-what-the-fix-changes-inside-the-model	hypothesis/07-what-the-fix-changes-inside-the-model
03-does-the-correction-cause-composition	figure-01-the-seven-paper-figures	figures/08-the-seven-paper-figures
03-does-the-correction-cause-composition	gate-01-two-literature-checks-before-print	checks/09-two-literature-checks-before-print
03-does-the-correction-cause-composition	generalization-01-other-models-and-samplers	reach/10-other-models-and-samplers
03-does-the-correction-cause-composition	idea-01-does-it-hold-for-attribute-pairs	ideas/11-does-it-hold-for-attribute-pairs
04-does-the-fix-reach-unseen-pairs	instrument-01-the-clean-pair-pool	tools/01-the-clean-pair-pool
04-does-the-fix-reach-unseen-pairs	instrument-02-three-live-curves-while-training	tools/02-three-live-curves-while-training
04-does-the-fix-reach-unseen-pairs	hypothesis-01-does-one-pooled-fix-transfer-at-all	hypothesis/03-does-one-pooled-fix-transfer-at-all
04-does-the-fix-reach-unseen-pairs	hypothesis-02-transfer-as-a-rate-over-fifteen-pairs	hypothesis/04-transfer-as-a-rate-over-fifteen-pairs
04-does-the-fix-reach-unseen-pairs	baseline-01-the-size-matched-control-pool	baselines/05-the-size-matched-control-pool
04-does-the-fix-reach-unseen-pairs	figure-01-the-transfer-figures	figures/06-the-transfer-figures
05-when-does-the-outcome-lock-in	01-basins-by-hand	reading/01-basins-by-hand
05-when-does-the-outcome-lock-in	02-the-free-probe	tests/02-the-free-test
05-when-does-the-outcome-lock-in	03-wire-the-oracle	tools/03-wire-the-endpoint-predictor
05-when-does-the-outcome-lock-in	04-calibrate-the-instrument	tools/04-calibrate-the-measuring-tool
05-when-does-the-outcome-lock-in	05-the-grid-and-the-figures	figures/05-the-grid-and-the-figures
06-is-the-gap-the-samplers-or-the-models	hypothesis-01-the-free-bound-on-the-models-share	hypothesis/01-the-free-bound-on-the-models-share
06-is-the-gap-the-samplers-or-the-models	instrument-01-the-corrector-and-the-step-size-it-runs-at	tools/02-the-corrector-and-the-step-size-it-runs-at
06-is-the-gap-the-samplers-or-the-models	hypothesis-02-what-is-left-once-the-chain-settles	hypothesis/03-what-is-left-once-the-chain-settles
06-is-the-gap-the-samplers-or-the-models	hypothesis-03-does-the-corrector-compose-in-the-same-window	hypothesis/04-does-the-corrector-compose-in-the-same-window
06-is-the-gap-the-samplers-or-the-models	baseline-01-superdiff-at-this-repos-fifty-steps	baselines/05-superdiff-at-this-repos-fifty-steps
06-is-the-gap-the-samplers-or-the-models	baseline-02-three-rules-on-one-dose-axis	baselines/06-three-rules-on-one-amount-axis
06-is-the-gap-the-samplers-or-the-models	idea-01-feynman-kac-correctors-gated	ideas/07-feynman-kac-correctors
07-writing-the-paper	writing-01-make-the-template-build	writing/01-make-the-template-build
07-writing-the-paper	writing-02-the-title-and-the-section-spine	writing/02-the-title-and-the-section-spine
07-writing-the-paper	writing-05-the-results-skeleton	writing/03-the-results-skeleton
07-writing-the-paper	writing-03-where-each-figure-goes	writing/04-where-each-figure-goes
07-writing-the-paper	writing-04-method-and-introduction	writing/05-method-and-introduction
07-writing-the-paper	writing-06-mechanism-and-limitations	writing/06-mechanism-and-limitations
07-writing-the-paper	writing-07-the-abstract-written-last	writing/07-the-abstract-written-last
